sectorName,symbol,name,announced,eligibility_date,distribution_date,distribution_way,dividend_per_share
Materials,3004,NORTHERN CEMENT,22/05/2023,31/05/2023,15/06/2023,تحويل للحساب,0.25
Materials,3004,NORTHERN CEMENT,03/10/2022,09/10/2022,23/10/2022,تحويل للحساب,0.25
Materials,3004,NORTHERN CEMENT,28/03/2022,10/04/2022,20/04/2022,تحويل للحساب,0.25
Materials,3004,NORTHERN CEMENT,04/08/2021,10/08/2021,24/08/2021,تحويل للحساب,0.25
Materials,3004,NORTHERN CEMENT,09/03/2021,14/03/2021,28/03/2021,تحويل للحساب,0.25
Materials,3005,UACC,17/03/2022,10/05/2022,25/05/2022,تحويل للحساب,0.25
Materials,3005,UACC,01/08/2021,15/08/2021,29/08/2021,تحويل للحساب,0.5
Materials,3005,UACC,10/03/2021,28/04/2021,10/05/2021,تحويل للحساب,0.4
Materials,3005,UACC,28/07/2020,27/08/2020,10/09/2020,تحويل للحساب,0.3
Materials,3005,UACC,25/02/2020,06/04/2020,19/04/2020,تحويل للحساب,0.25
Materials,3007,OASIS,02/03/2023,21/05/2023,04/06/2023,تحويل للحساب,0.6
Materials,3007,OASIS,15/11/2021,09/05/2022,26/05/2022,تحويل للحساب,1.5
Materials,3007,OASIS,25/02/2021,26/04/2021,01/06/2021,تحويل للحساب,1
Materials,3007,OASIS,27/02/2020,19/04/2020,10/05/2020,تحويل للحساب,0.75
Materials,3007,OASIS,24/10/2019,21/11/2019,02/12/2019,تحويل للحساب,0.75
Materials,3010,ACC,23/02/2023,09/04/2023,17/04/2023,تحويل للحساب,1.1
Materials,3010,ACC,09/08/2022,31/08/2022,15/09/2022,تحويل للحساب,1.1
Materials,3010,ACC,28/02/2022,17/04/2022,12/05/2022,تحويل للحساب,1.5
Materials,3010,ACC,16/08/2021,18/08/2021,06/09/2021,تحويل للحساب,1.25
Materials,3010,ACC,01/03/2021,11/04/2021,02/05/2021,تحويل للحساب,1.25
Materials,3020,YSCC,15/02/2023,20/03/2023,09/04/2023,تحويل للحساب,1
Materials,3020,YSCC,11/02/2020,06/04/2020,20/04/2020,تحويل للحساب,0.5
Materials,3020,YSCC,19/01/2017,27/02/2017,19/03/2017,تحويل للحساب,0.25
Materials,3020,YSCC,21/07/2016,15/08/2016,25/09/2016,تحويل للحساب,0.25
Materials,3020,YSCC,21/04/2016,28/04/2016,22/05/2016,تحويل للحساب,0.5
Materials,3030,SAUDI CEMENT,07/06/2023,11/06/2023,20/06/2023,تحويل للحساب,1.5
Materials,3030,SAUDI CEMENT,01/02/2023,13/04/2023,07/05/2023,تحويل للحساب,1.75
Materials,3030,SAUDI CEMENT,02/06/2022,05/06/2022,15/06/2022,تحويل للحساب,1.5
Materials,3030,SAUDI CEMENT,01/02/2022,10/04/2022,20/04/2022,تحويل للحساب,2
Materials,3030,SAUDI CEMENT,02/06/2021,06/06/2021,16/06/2021,تحويل للحساب,1.5
Materials,3040,QACCO,24/05/2023,28/05/2023,14/06/2023,تحويل للحساب,0.65
Materials,3040,QACCO,20/02/2023,21/03/2023,05/04/2023,تحويل للحساب,0.6
Materials,3040,QACCO,22/11/2022,22/11/2022,12/12/2022,تحويل للحساب,0.6
Materials,3040,QACCO,13/09/2022,25/09/2022,12/10/2022,تحويل للحساب,0.5
Materials,3040,QACCO,17/05/2022,19/05/2022,06/06/2022,تحويل للحساب,0.5
Materials,3050,SPCC,28/03/2023,N/A,N/A,تحويل للحساب,0.5
Materials,3050,SPCC,08/09/2022,14/09/2022,26/09/2022,تحويل للحساب,0.75
Materials,3050,SPCC,03/03/2022,12/04/2022,24/04/2022,تحويل للحساب,1.25
Materials,3050,SPCC,29/07/2021,10/08/2021,22/08/2021,تحويل للحساب,1.25
Materials,3050,SPCC,03/03/2021,11/04/2021,25/04/2021,تحويل للحساب,2.5
Materials,3060,YCC,29/05/2023,31/05/2023,20/06/2023,تحويل للحساب,1.5
Materials,3060,YCC,11/12/2022,12/12/2022,29/12/2022,تحويل للحساب,0.75
Materials,3060,YCC,02/06/2022,12/06/2022,30/06/2022,تحويل للحساب,0.75
Materials,3060,YCC,12/12/2021,13/12/2021,30/12/2021,تحويل للحساب,1
Materials,3060,YCC,26/07/2021,29/07/2021,17/08/2021,تحويل للحساب,1.25
Materials,3080,EPCCO,20/03/2023,26/03/2023,13/04/2023,تحويل للحساب,1
Materials,3080,EPCCO,03/08/2022,14/08/2022,30/08/2022,تحويل للحساب,1
Materials,3080,EPCCO,13/03/2022,11/04/2022,26/04/2022,تحويل للحساب,1.1
Materials,3080,EPCCO,02/08/2021,08/08/2021,23/08/2021,تحويل للحساب,1.4
Materials,3080,EPCCO,07/03/2021,11/04/2021,28/04/2021,تحويل للحساب,2.5
Materials,3090,TCC,27/03/2022,21/04/2022,15/05/2022,تحويل للحساب,0.25
Materials,3090,TCC,10/01/2016,28/04/2016,08/05/2016,تحويل للحساب,0.9
Materials,3090,TCC,19/02/2015,09/04/2015,26/04/2015,تحويل للحساب,0.5
Materials,3090,TCC,30/06/2014,15/07/2014,17/08/2014,تحويل للحساب,1
Materials,3090,TCC,26/12/2013,16/04/2014,27/04/2014,تحويل للحساب,0.8
Materials,3091,JOUF CEMENT,05/03/2013,06/05/2013,16/05/2013,تحويل للحساب,0.5
Materials,3091,JOUF CEMENT,30/05/2012,04/06/2012,16/06/2012,تحويل للحساب,0.5
Capital Goods,1212,ASTRA INDUSTRIAL,16/03/2023,28/05/2023,04/06/2023,تحويل للحساب,2.5
Capital Goods,1212,ASTRA INDUSTRIAL,16/03/2022,21/04/2022,28/04/2022,تحويل للحساب,1.5
Capital Goods,1212,ASTRA INDUSTRIAL,11/03/2021,11/04/2021,20/04/2021,تحويل للحساب,0.75
Capital Goods,1212,ASTRA INDUSTRIAL,28/03/2018,17/05/2018,07/06/2018,تحويل للحساب,0.5
Capital Goods,1212,ASTRA INDUSTRIAL,19/03/2017,16/05/2017,06/06/2017,تحويل للحساب,0.5
Capital Goods,1302,BAWAN,03/08/2023,03/09/2023,17/09/2023,تحويل للحساب,0.65
Capital Goods,1302,BAWAN,05/03/2023,23/03/2023,06/04/2023,تحويل للحساب,0.65
Capital Goods,1302,BAWAN,09/08/2022,18/08/2022,06/09/2022,تحويل للحساب,0.85
Capital Goods,1302,BAWAN,28/12/2021,23/01/2022,06/02/2022,تحويل للحساب,0.75
